,Name,Address,Rating,Money,lat,lng,District
79,Bar Novi,"Херсонская, 43",,2.0,55.659231000000005,37.560835,Черёмушки
80,Baron de Makaron,"Щукинская, 42, ТРК «Щука»",,2.0,55.80946899999999,37.464571,Щукино
81,Barrel,"4-й Сыромятнический пер., 1/8, стр. 6, ЦСИ «Винзавод»",,2.0,55.755697,37.664518,Басманный
82,Barrique,"Благовещенский пер., 10, стр. 2",,2.0,55.767499,37.598591,Тверской
83,Barton 1816,"Станиславского, 15",,3.0,55.744916,37.661392,Таганский
85,Bazar,"Кировоградская, 13а, ТЦ Columbus",,1.0,55.612182,37.607026,Чертаново Центральное
87,BB & Burgers,"Н.Арбат, 17",,1.0,55.752141,37.590713,Арбат
88,BB & Burgers,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя»",,1.0,55.748143000000006,37.540488,Пресненский
89,BB & Burgers,"Пятницкая, 25, стр. 1д",,1.0,55.741521,37.628809999999994,Замоскворечье
91,BB & Burgers,"Маросейка, 4/2, стр. 1",,1.0,55.757408999999996,37.633688,Басманный
94,BB & Burgers,"Усачева, 26",,1.0,55.727374,37.567698,Хамовники
96,Бардак,"Маросейка, 6/8, cтр. 1",8.6,2.0,55.757491,37.635404,Басманный
97,Burger Heroes,"Б.Ордынка, 19, стр. 1",8.6,1.0,55.741586,37.625217,Замоскворечье
99,Пипл & Паста,"Цветной б-р, 25, стр. 1",8.6,1.0,55.772861,37.620645,Тверской
100,Пушкин,"Тверской б-р, 26а",8.6,4.0,55.7637,37.605032,Тверской
101,Батони,"Комсомольский просп., 42, стр. 3",8.6,2.0,55.721447,37.572468,Хамовники
102,15 Kitchen + Bar,"Пожарский пер., 15",8.6,3.0,55.741744,37.600675,Хамовники
104,Пита & Сувлаки,"Садовая-Самотечная, 15/1",8.6,1.0,55.774325,37.61848,Тверской
105,Люди как люди,"Солянский туп., 1/4",8.6,1.0,55.753823,37.63606,Таганский
106,Touché,"Рочдельская, 15, стр. 22, БЦ «Трехгорная мануфактура»",8.6,2.0,55.755586,37.562748,Пресненский
107,Простые вещи New Vintage,"1-я Брестская, 41",8.6,2.0,55.773262,37.587533,Тверской
108,Обломов,"1-й Монетчиковский пер., 5",8.6,4.0,55.73225600000001,37.628316,Замоскворечье
109,Шотландская клетка,"Сретенка, 27/29",8.6,3.0,55.770988,37.632160999999996,Мещанский
