,Name,Address,Metro,Rating,Money
50,Avatara,"Заводской пр., 10",Измайловская,,
51,Avenue,"Смоленская, 8, гостиница Azimut Moscow Smolenskaya",Смоленская,,3
52,Avenue Club,"Щелковское ш., 30",Щелковская,,
53,Aviator,"Пресненская наб., 12, ММДЦ «Москва-Сити», башня «Федерация», 52 этаж","Выставочная, Международная, Деловой центр",,4
54,Aviv,"Рублево-Успенское ш., 207, Еврейский культурный центр «Жуковка»",,,2
55,Aviv Express,"Богословский пер., 5","Тверская, Пушкинская, Чеховская",,1
56,Azora Coffee & Cheese,"Бауманская, 9","Красносельская, Бауманская",,1
57,Babylon,"Маросейка, 2/15, стр. 1",Китай-город,,
58,Baccarat Cristal Room,"Никольская, 19–21, 2 этаж","Лубянка, Кузнецкий Мост",,4
59,Backstage,"66-й км МКАД, пересечение с Волоколамским ш., в здании Crocus City Hall, 4 этаж",Мякинино,,3
60,Bai Kalyan Café,"Волгоградский просп., 32, корп. 12",Волгоградский проспект,,2
61,Bake'n'Roll,"Академика Королева, 10",ВДНХ,,3
62,Bakery by Men,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского»",Университет,,1
63,Bakery Home,"Оболенский пер., 9, корп. 1",Фрунзенская,,1
64,Baklajan,"Кутузовский просп., 57",Славянский бульвар,,3
65,Bang Bang,"Рождественка, 6/9/20, стр. 1","Лубянка, Кузнецкий Мост",,1
66,Banket Rooms,"Тверская, 18","Тверская, Пушкинская, Чеховская",,
67,Bao + Noodles,"Ниж.Красносельская, 35, стр. 59, рынок «Гастроферма»","Красносельская, Бауманская",,1
68,Bao + Noodles,"Ленинская Слобода, 26, МЦ Roomer, фуд-корт Streat",Автозаводская,,1
69,Bar 24,"Краснопресненская наб., 12, отель Crowne Plaza, 1 этаж","Выставочная, Улица 1905 года, Международная, Деловой центр",,2
70,Barabar,"Новочеремушкинская, 12",Академическая,,2
71,Barbar,"Б.Патриарший пер., 10, КЦ «Дом на Патриарших», цокольный этаж","Маяковская, Тверская, Пушкинская, Чеховская",,2
72,Bar B.Q.,"Кржижановского, 22, стр. 1","Профсоюзная, Новые Черемушки",,2
73,Bar BQ Café Метрополис,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»","Войковская, Балтийская",,2
74,Bar BQ Café на Манежной,"Манежная пл., 1, стр. 2, ТЦ «Охотный Ряд»","Охотный Ряд, Театральная, Площадь Революции",,2
75,Bar BQ Café Химки,"24-й км Ленинградского ш., ТЦ «Мега Химки»","Речной вокзал, Планерная",,2
76,Bar by Smoothie & Coffee,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя», –1 этаж","Выставочная, Международная, Деловой центр",,2
77,Barin,"Б.Якиманка, 24, гостиница «Президент-отель», 14 этаж","Октябрьская, Полянка",,3
78,Barista Café,"В.Красносельская, 3а, ТДК «Тройка»",Красносельская,,1
79,Bar Novi,"Херсонская, 43","Новые Черемушки, Калужская",,2
80,Baron de Makaron,"Щукинская, 42, ТРК «Щука»",Щукинская,,2
81,Barrel,"4-й Сыромятнический пер., 1/8, стр. 6, ЦСИ «Винзавод»","Курская, Чкаловская",,2
82,Barrique,"Благовещенский пер., 10, стр. 2","Маяковская, Тверская, Пушкинская, Чеховская",,2
83,Barton 1816,"Станиславского, 15","Таганская, Марксистская",,3
84,Barvip,,,,
85,Bazar,"Кировоградская, 13а, ТЦ Columbus",Пражская,,1
86,BB & Burgers,"20-й км Ильинского ш., дер. Глухово, Центральная, 46",,,1
87,BB & Burgers,"Н.Арбат, 17",Арбатская,,1
88,BB & Burgers,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя»","Выставочная, Деловой центр",,1
89,BB & Burgers,"Пятницкая, 25, стр. 1д","Новокузнецкая, Третьяковская",,1
90,BB & Burgers,"5-й км от МКАД Новорижского ш., ТРК «Рига-молл»",,,1
91,BB & Burgers,"Маросейка, 4/2, стр. 1","Лубянка, Кузнецкий Мост, Китай-город",,1
92,BB & Burgers,"2-й км Киевского ш., БЦ «Комсити»",Румянцево,,1
93,BB & Burgers,"Льва Толстого, 20",Парк культуры,,1
94,BB & Burgers,"Усачева, 26","Фрунзенская, Спортивная, Лужники",,1
95,BB & Burgers,"Ленинский просп., 109, ТРЦ «Рио Ленинский»","Проспект Вернадского, Юго-Западная, Калужская",,1
96,Бардак,"Маросейка, 6/8, cтр. 1",Китай-город,8.6,2
97,Burger Heroes,"Б.Ордынка, 19, стр. 1","Новокузнецкая, Третьяковская",8.6,1
98,Натахтари в Большом Черкасском,"Б.Черкасский пер., 13, стр. 4, вход с Новой площади",Китай-город,8.6,2
99,Пипл & Паста,"Цветной б-р, 25, стр. 1","Цветной бульвар, Трубная",8.6,1
100,Пушкин,"Тверской б-р, 26а","Тверская, Пушкинская, Чеховская",8.6,4
101,Батони,"Комсомольский просп., 42, стр. 3","Фрунзенская, Спортивная",8.6,2
102,15 Kitchen + Bar,"Пожарский пер., 15","Кропоткинская, Парк культуры",8.6,3
103,Кот Шредингера,"Б.Дмитровка, 32, внутренний двор, цокольный этаж","Тверская, Пушкинская, Чеховская",8.6,2
104,Пита & Сувлаки,"Садовая-Самотечная, 15/1","Сухаревская, Цветной бульвар, Трубная",8.6,1
105,Люди как люди,"Солянский туп., 1/4",Китай-город,8.6,1
106,Touché,"Рочдельская, 15, стр. 22, БЦ «Трехгорная мануфактура»","Краснопресненская, Баррикадная",8.6,2
