,Name,Address,Metro,Rating,Money
3045,Starbucks,"Правобережная, 1б, ТЦ «Капитолий Ленинградский»",Речной вокзал,,1
3046,Starbucks,"Сходненская, 56, ТРЦ «Калейдоскоп»",Сходненская,,1
3047,Starbucks,"Багратионовский пр., 7, корп. 2, гипермолл «Горбушкин двор»",Багратионовская,,1
3048,Starbucks,"Крылатская, 17, корп. 3, БП «Крылатские холмы»",Крылатское,,1
3049,Starbucks,"Двинцев, 12, БЦ «Двинцев»",Савеловская,,1
3050,Starbucks,"Космодамианская наб., 52/3, БЦ Riverside Towers",Павелецкая,,1
3051,Starbucks,"7-й км Пятницкого ш., влад. 2, ТП «Отрада»",Пятницкое шоссе,,1
3052,Starbucks,"Ленинградский просп., 39, БЦ Skylight, 1 этаж",Аэропорт,,1
3053,Starbucks,"Смоленская-Сенная пл., 27, стр. 1",Смоленская,,1
3054,Starbucks,"Тимура Фрунзе, 11, ДК «Красная роза», БЦ «Морозов»",Парк культуры,,1
3055,Starbucks,"Каширское ш., 14, ТРЦ «Гудзон»","Каширская, Нахимовский проспект",,1
3056,Starbucks,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити», 1 этаж",Мякинино,,1
3057,Starbucks,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити», 2 этаж",Мякинино,,1
3058,Starbucks,"84-й км МКАД, пересечение с Алтуфьевским ш., ТРЦ «Весна»",Алтуфьево,,1
3059,Starbucks,"Варшавское ш., 9, стр. 1а, БК «Даниловская мануфактура», корп. «Гастелло»",Тульская,,1
3060,Starbucks,"Садовая-Самотечная, 24/27, БЦ «Мосэнка-плаза»","Цветной бульвар, Трубная",,1
3061,Starbucks,"Мясницкая, 9–11","Лубянка, Кузнецкий Мост",,1
3062,Starbucks,"Головинское ш., 5, ТЦ «Водный»",Водный стадион,,1
3063,Starbucks,"Ходынский б-р, 4, ТРЦ «Авиапарк», 1 этаж","Аэропорт, Динамо, Полежаевская",,1
3064,Starbucks,"Ходынский б-р, 4, ТРЦ «Авиапарк», 2 этаж","Аэропорт, Динамо, Полежаевская",,1
3065,Starbucks,"Кировоградская, 13а, ТЦ Columbus",Пражская,,1
3066,Starbucks,"Ярцевская, 19, МФК «Кунцево-плаза»",Молодежная,,1
3067,Star Hit,"Шаболовка, 31",Шаболовская,,1
3068,Star Hit,"Ленинградский просп., 31а, стр. 1, МФК «Монарх»",Динамо,,1
3069,Star Hit,"Ленинградское ш., 16а, стр. 2, БЦ «Метрополис»",Войковская,,1
3070,Star Hit,"Дербеневская наб., 7, стр. 22, ДК «Новоспасский»",Павелецкая,,1
3071,Star Hit,"Б.Тульская, 11, ТДК «Тульский»",Тульская,,1
3072,KFC,"Перерва, 43, корп. 1, ТК «Бум»",Братиславская,,1
3073,KFC,"Измайловское ш., 71а, ТЦ «АСТ»",Партизанская,,1
3074,KFC,"Люблинская, 153, ТК «Л-153»",Братиславская,,1
3075,KFC,"Семеновская пл., 1, ТРЦ «Семеновский»",Семеновская,,1
3076,KFC,"Варшавское ш., 26, стр. 5, ТЦ For You",Нагатинская,,1
3077,KFC,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского»",Университет,,1
3078,KFC,"Волгоградский просп., 119а",Кузьминки,,1
3079,KFC,"Рязанский просп., 2, корп. 2, ТК «Город на Рязанке»",Рязанский проспект,,1
3080,KFC,"14-й км МКАД, пересечение с ул. Верхние Поля, ТЦ «Мега Белая Дача», 1 здание, 2 этаж","Кузьминки, Люблино, Братиславская, Котельники",,1
3081,KFC,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",Войковская,,1
3082,KFC,"Можайское ш., 39, ТЦ «Петровский»","Кунцевская, Славянский бульвар",,1
3083,KFC,"Сущевский Вал, 5, стр. 9, ТЦ «Совенок»",Савеловская,,1
3084,KFC,"Ореховый б-р, 14, корп. 3, ТРЦ «Домодедовский»",Домодедовская,,1
3085,KFC,"Варшавское ш., 87б, ТДЦ «Варшавский»",Варшавская,,1
3086,KFC,"Дубравная, 34/29, ТРЦ «Ладья»",Митино,,1
3087,KFC,"Рублевское ш., 62, ТРЦ «Европарк»",Крылатское,,1
3088,KFC,"Кронштадтский б-р, 7, ТОЦ «Крона»",Водный стадион,,1
3089,KFC,"Земляной Вал, 29, в здании Курского вокзала","Курская, Чкаловская",,1
3090,KFC,"Золоторожский Вал, 42, ТЦ «Гранд-сити»","Площадь Ильича, Римская",,1
3091,KFC,"Профсоюзная, 61a, ТЦ «Калужский»",Калужская,,1
3092,KFC,"Пролетарский просп., 2а",Каширская,,1
3093,KFC,"Боровское ш., 6, ТЦ «Солнечный рай»","Проспект Вернадского, Юго-Западная",,1
3094,KFC,"Земляной Вал, 33, ТРК «Атриум»","Курская, Чкаловская",,1
3095,KFC,"Ярцевская, 25а, ТК «Трамплин»",Молодежная,,1
3096,Star Hit,"22-й км Киевского ш., 6, стр. 1, ОП Comcity",Румянцево,,1
3097,Star Hit,"Комсомольская пл., 2, в здании Казанского вокзала",Комсомольская,,1
3098,Star Hit,"Земляной Вал, 29, в здании Курского вокзала","Курская, Чкаловская",,1
3099,Star Hit,"14-й км от МКАД по Ленинградскому ш., дер. Черная Грязь, Fashion House Outlet Centre",,,1
3100,Steak & Beer Corner,"Сергея Макеева, 4",Улица 1905 года,,2
3101,Steak It Easy,"Лесная, 9, БЦ «Белые сады»",Белорусская,,2
3102,Steak It Easy,"Н.Арбат, 21","Арбатская, Смоленская",,2
3103,Stereo People,"Столешников пер., 6, стр. 2","Лубянка, Охотный Ряд, Тверская, Театральная, Площадь Революции, Пушкинская, Кузнецкий Мост, Чеховская",,1
3104,Stetson Pub,"пос. Красково, 2-я Заводская, 16",,,2
3105,Stew,"Крымский Вал, 9, в парке Горького","Парк культуры, Октябрьская",,1
3106,Stone Age Café,"Арбат, 6/2",Арбатская,,2
3107,Stone Age Café,"просп. Мира, 119, ВДНХ, фуд-корт",ВДНХ,,1
3108,Stone Age Café,"Ходынский б-р, 4, ТРЦ «Авиапарк»","Аэропорт, Динамо, Полежаевская",,2
3109,Stone Age Café,"Профсоюзная, 61а, ТЦ «Калужский»",Калужская,,2
3110,Stone Age Café,"Мичуринский просп., 27, ТЦ «Тиара»",Университет,,2
3111,Stone Crab,"Ленинградский просп., 15, стр. 1, БЦ «Большевик»",Белорусская,,3
3112,Stopka Discount Bar,"Кантемировская, 17, корп. 1",Кантемировская,,1
3113,Stories,"Котельническая наб., 1/15","Таганская, Китай-город",,3
3114,Straf Bar,"Земляной Вал, 25","Курская, Чкаловская",,1
3115,Strawberry Haze,"Б.Серпуховская, 44","Добрынинская, Сухаревская",,
3116,Street Chef,"Мантулинская, 5, парк «Красная Пресня»","Выставочная, Деловой центр",,1
3117,Street Chef,"24-й км Ленинградского ш., ТЦ «Мега Химки»","Речной вокзал, Планерная",,1
3118,Street Chef,"Крылатская, 15, парк «Сказка»",Крылатское,,1
3119,Street Chef,"Пресненская наб., 2, ТЦ «Афимолл-сити»","Выставочная, Деловой центр",,1
3120,KFC,"Открытое ш., 9, стр. 1, ТЦ «Подсолнухи»",Бульвар Рокоссовского,,1
3121,KFC,"Дмитровское ш., 89, ТРЦ XL-1",Петровско-Разумовская,,1
3122,KFC,"Ленинградский просп., 62а, ТК «Галерея Аэропорт»",Аэропорт,,1
3123,KFC,"Новоясеневский просп., 11, ТК «Золотой Вавилон Ясенево»",Ясенево,,1
3124,KFC,"Кировоградская, 13а, ТЦ Columbus",Пражская,,1
3125,KFC,"Маршала Бирюзова, 32, ТРЦ «Пятая авеню»",Октябрьское Поле,,1
3126,KFC,"Авиамоторная, 41б",Авиамоторная,,1
3127,KFC,"Профсоюзная, 129а, ТРЦ «Принц-плаза»",Теплый Стан,,1
3128,KFC,"Фестивальная, 2б, ТРЦ «Речной»",Речной вокзал,,1
3129,KFC,"пл. Киевского Вокзала, 2, ТРЦ «Европейский»",Киевская,,1
3130,KFC,"Мичуринский просп., Олимпийская деревня, 3, корп. 1, ТРЦ «Фестиваль»","Проспект Вернадского, Юго-Западная",,1
3131,KFC,"Покрышкина, 4, ТЦ «Звездочка»",Юго-Западная,,1
3132,KFC,"Рязанский просп., 75, корп. 3",Рязанский проспект,,1
3133,KFC,"Правобережная, 1б, ТЦ «Капитолий Ленинградский»",Речной вокзал,,1
3134,KFC,"Бутырская, 89",Дмитровская,,1
3135,KFC,"Варшавское ш., 97, ТЦ «Ритейл-парк»",Варшавская,,1
3136,KFC,"Сигнальный пр., 17, ТЦ «Парк-хаус Сигнальный»",Владыкино,,1
3137,KFC,"71-й км МКАД, ТРЦ «Вэйпарк»","Планерная, Сходненская, Митино",,1
3138,KFC,"Миклухо-Маклая, 32а, ТЦ «Капитолий Беляево»",Беляево,,1
3139,KFC,"3-й Крутицкий пер., 18, ТЦ «Метромаркет»","Пролетарская, Крестьянская Застава",,1
3140,KFC,"24-й км МКАД, пересечение с Каширским ш., ТРЦ Vegas",Домодедовская,,1
3141,KFC,"просп. Мира, 211, ТРЦ «Золотой Вавилон», 2 уровень, Западная площадь","Свиблово, Ботанический сад, ВДНХ",,1
3142,KFC,"Профсоюзная, 56, ТЦ «Черемушки»",Новые Черемушки,,1
3143,KFC,"Манежная пл., 1, стр. 2, ТЦ «Охотный Ряд»","Охотный Ряд, Театральная, Площадь Революции",,1
3144,Studio 46,"Новослободская, 46","Новослободская, Менделеевская, Достоевская",,3
3145,Studio Food,"Новодмитровская, 1, влад. 3",Дмитровская,,2
3146,Subway,"просп. Вернадского, 39, БЦ «Вернадский»",Проспект Вернадского,,1
3147,Subway,"Дмитрия Ульянова, 28",Академическая,,1
3148,Subway,"Ленинградский просп., 1",Белорусская,,1
3149,Subway,"пл. Тверская Застава, 7, в здании Белорусского вокзала, 1 подъезд",Белорусская,,1
3150,Subway,"24-й км Ленинградского ш., ТЦ «Мега Химки»","Речной вокзал, Планерная",,1
3151,Subway,"пл. Киевского Вокзала, 2, ТРЦ «Европейский»",Киевская,,1
3152,Subway,"пл. Киевского Вокзала, 1, в здании Киевского вокзала",Киевская,,1
3153,Subway,"Бутырский Вал, 5, БЦ «Ямская-центр»",Белорусская,,1
3154,Subway,"Тишинская пл., 1, стр. 1, ТВК «Тишинка»","Белорусская, Маяковская",,1
3155,Subway,"Никольская, 17, стр. 1","Охотный Ряд, Театральная, Площадь Революции",,1
3156,Subway,"Павелецкая пл., 1, в здании Павелецкого вокзала",Павелецкая,,1
3157,Subway,"пл. Тверская Застава, 7, у пригородных касс Белорусского вокзала",Белорусская,,1
3158,Subway,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити»",Мякинино,,1
3159,Subway,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",Войковская,,1
3160,Subway,"Комсомольская пл., 2, в здании Казанского вокзала",Комсомольская,,1
3161,Subway,"14-й км МКАД, пересечение с ул. Верхние Поля, ТЦ «Мега Белая Дача», здание 1","Кузьминки, Люблино, Братиславская, Котельники",,1
3162,Subway,"Новорязанское ш., 8, Outlet Village Белая Дача",Котельники,,1
3163,Subway,"14-й км МКАД, пересечение с ул. Верхние Поля, ТЦ «Мега Белая Дача», здание 2","Кузьминки, Люблино, Братиславская, Котельники",,1
3164,Subway,"Ладожская, 7",Бауманская,,1
3165,Subway,"Земляной Вал, 29, в здании Курского вокзала","Курская, Чкаловская",,1
3166,Subway,"Манежная пл., 1, стр. 2, ТЦ «Охотный Ряд»","Охотный Ряд, Театральная, Площадь Революции",,1
3167,Subway,"Орджоникидзе, 11, дисконт-центр «Орджоникидзе, 11»",Ленинский проспект,,1
3168,KFC,"14-й км МКАД, пересечение с ул. Верхние Поля, ТЦ «Мега Белая Дача», 2 здание","Кузьминки, Люблино, Братиславская, Котельники",,1
3169,KFC,"Миклухо-Маклая, 47а",Беляево,,1
3170,KFC,"Сходненская, 56, ТРЦ «Калейдоскоп»",Сходненская,,1
3171,KFC,"Ярославское ш., 114",Бабушкинская,,1
3172,KFC,"пл. Савеловского Вокзала, 2, в здании Савеловского вокзала",Савеловская,,1
3173,KFC,"Б.Черемушкинская, 1, ТРЦ «Рио»",Академическая,,1
3174,KFC,"Нижегородская, 50, ТЦ «Три D»",,,1
3175,KFC,"Новоясеневский просп., 1, ТРЦ «Спектр»",Теплый Стан,,1
3176,KFC,"53-й км МКАД, гипермаркет «Ашан Марфино»","Кунцевская, Славянский бульвар",,1
3177,KFC,"24-й км Ленинградского ш., ТЦ «Мега Химки»","Речной вокзал, Планерная",,1
3178,KFC,"просп. Мира, 211, ТРЦ «Золотой Вавилон», 2 уровень, Южный проспект","Свиблово, Ботанический сад, ВДНХ",,1
3179,KFC,"28-й км трассы М4 «Дон», АЗС «Татнефть»",,,1
3180,KFC,"Новослободская, 11, стр. 1","Новослободская, Менделеевская",,1
3181,KFC,"Ходынский б-р, 4, ТРЦ «Авиапарк»","Аэропорт, Динамо, Полежаевская",,1
3182,KFC,"Ленинская Слобода, 17, стр. 2",Автозаводская,,1
3183,KFC,"Пресненская наб., 2, ТЦ «Афимолл-сити»","Выставочная, Деловой центр",,1
3184,KFC,"1-я Останкинская, 55, ТЦ «ВДНХ»",ВДНХ,,1
3185,KFC,"84-й км МКАД, пересечение с Алтуфьевским ш., ТРЦ «Весна»",Алтуфьево,,1
3186,KFC,"Головинское ш., 5, ТЦ «Водный»",Водный стадион,,1
3187,KFC,"Волгоградский просп., 166",Кузьминки,,1
3188,KFC,"Вавилова, 3, ТРЦ «Гагаринский»",Ленинский проспект,,1
3189,KFC,"пр. Дежнева, 23, ТД «Вавилон-92»",Бабушкинская,,1
3190,KFC,"Дубнинская, 30, ТЦ «Петровский»",Петровско-Разумовская,,1
3191,KFC,"Комсомольская пл., 2, в здании Казанского вокзала",Комсомольская,,1
3192,KFC,"35-й км Дмитровского ш., дер. Шолохово, ТЦ «Каштановая роща»",,,1
3193,KFC,"22-й км Киевского ш., БП «Румянцево», стр. 2, блок Г",Румянцево,,1
3194,KFC,"Профсоюзная, 118, ТЦ «Тропа»",Коньково,,1
3195,KFC,"Ярцевская, 19, МФК «Кунцево-плаза»",Молодежная,,1
3196,KFC,"Луганская, 10, ТЦ «Царицыно»",Царицыно,,1
3197,KFC,"Люблинская, 102а, ТЦ «Марьинский пассаж»",Марьино,,1
3198,KFC,"просп. Андропова, 8, ТРЦ «Мегаполис»",Технопарк,,1
3199,KFC,"82-й км МКАД, 18, АЗС",,,1
3200,KFC,"Каширское ш., 26, ТРК «Москворечье»",Каширская,,1
3201,KFC,"7-й км Пятницкого ш., влад. 2, ТП «Отрада»",Пятницкое шоссе,,1
3202,KFC,"Павелецкая пл., 1",Павелецкая,,1
3203,KFC,"просп. Вернадского, 14а, ТЦ «Обувь-сити»",Проспект Вернадского,,1
3204,KFC,"Дмитровское ш., 163а, ТРЦ «Рио Дмитровка»",Алтуфьево,,1
3205,KFC,"Сокольническая пл., 9а, ТЦ «Престиж М»",Сокольники,,1
3206,KFC,"Сущевский Вал, 59",Марьина Роща,,1
3207,KFC,"41-й км МКАД, пересечение с Калужским ш., ТЦ «Мега Теплый Стан»","Теплый Стан, Ясенево",,1
3208,KFC,"Б.Тульская, 13, ТРЦ «Ереван-плаза»",Тульская,,1
3209,KFC,"Багратионовский пр., 5, ТРЦ «Филион»","Багратионовская, Фили",,1
3210,KFC,"Театральный пр., 5, Центральный детский магазин","Лубянка, Кузнецкий Мост",,1
3211,KFC,"Комсомольская пл., 5, в здании Ярославского вокзала",Комсомольская,,1
3212,KFC,"Азовская, 24, корп. 3, ТРЦ «Азовский»","Севастопольская, Чертановская, Каховская",,1
3213,KFC,"Варшавское ш., 160, ТРЦ «Галерея Атлантис»",Аннино,,1
3214,KFC,"Менжинского, 32, ТЦ «Кондор»",Бабушкинская,,1
3215,KFC,"Каширское ш., 14, ТРЦ «Гудзон»","Каширская, Нахимовский проспект",,1
3216,Subway,"просп. Мира, 211, ТРЦ «Золотой Вавилон»","Свиблово, Ботанический сад, ВДНХ",,1
3217,Subway,"Н.Арбат, 1",Арбатская,,1
3218,Subway,"Воронцовская, 48","Пролетарская, Крестьянская Застава",,1
3219,Subway,"Таганская, 2, стр. 4","Таганская, Марксистская",,1
3220,Subway,"ш. Энтузиастов, 31",Шоссе Энтузиастов,,1
3221,Subway,"Нагатинская, 2а",Нагатинская,,1
3222,Subway,"Открытое ш., 9, стр. 1, ТЦ «Подсолнухи»",Бульвар Рокоссовского,,1
3223,Subway,"Рождественка, 5/7","Лубянка, Кузнецкий Мост",,1
3224,Subway,"Маши Порываевой, 38","Красные Ворота, Комсомольская",,1
3225,Subway,"Рябиновая, 59, ТЦ Metro Cash & Carry",Кунцевская,,1
3226,Subway,"Б.Татарская, 26","Новокузнецкая, Третьяковская",,1
3227,Subway,"Сокольническая пл., 9а, ТЦ «Престиж М»",Сокольники,,1
3228,Subway,"Хлобыстова, 26, стр. 2",Выхино,,1
3229,Subway,"Измайловское ш., 71, стр. 10",Партизанская,,1
3230,Subway,"Бутырская, 2, стр. 2",Савеловская,,1
3231,Subway,"2-я Владимирская, 36/21",Перово,,1
3232,Subway,"Мясницкий пр., 4, стр. 1",Красные Ворота,,1
3233,Subway,"Сигнальный пр., 4",Владыкино,,1
3234,Subway,"Южнопортовая, 22, стр. 10",Кожуховская,,1
3235,Subway,"Б.Новодмитровская, 14, стр. 4",Савеловская,,1
3236,Subway,"аэропорт Домодедово, пассажирский терминал, 2 этаж",,,1
3237,Subway,"аэропорт Домодедово, терминал С",,,1
3238,Subway,"33-й км трассы М4, комплекс дорожного сервиса «Дон»",,,1
3239,Subway,"Народного Ополчения, 47, корп. 1, стр. 1",Октябрьское Поле,,1
3240,Subway,"Сущевский Вал, 5, стр. 1, ТК «Савеловский»",Савеловская,,1
3241,Subway,"Краснопресненская наб., 16/1","Выставочная, Деловой центр",,1
3242,Subway,"26-й км МКАД, АЗС «Ека»",,,1
3243,Subway,"пр. Шокальского, 50а, АЗС «Ека»",Медведково,,1
3244,Subway,"Новобутовская, влад. 9, АЗС «Ека»",Улица Скобелевская,,1
3245,Subway,"Миклухо-Маклая, 11","Юго-Западная, Беляево",,1
3246,Subway,"Вавилова, 3, ТРЦ «Гагаринский»",Ленинский проспект,,1
3247,Subway,"91-й км МКАД, пересечение с Осташковским ш., гипермаркет «Ашан Мытищи»",Медведково,,1
3248,Subway,"Ярцевская, 27а",Молодежная,,1
3249,Subway,"Б.Тульская, 13, ТРЦ «Ереван-плаза»",Тульская,,1
3250,Subway,"Бутырская, 9, стр. 2",Савеловская,,1
3251,Subway,"Михалковская, 1/51","Водный стадион, Войковская",,1
3252,Subway,"22-й км Киевского ш., БП «Румянцево», корп. Г",Тропарево,,1
3253,Subway,"Варшавское ш., 7, корп. 1",Тульская,,1
3254,Subway,"Лобачевского, 112а, стр. 1, АЗС",,,1
3255,Subway,"Золоторожский Вал, 42, ТЦ «Гранд-сити»","Площадь Ильича, Римская",,1
3256,Subway,"просп. Мира, 146",ВДНХ,,1
3257,Subway,"просп. Мира, 150, гостиница «Космос»",ВДНХ,,1
3258,Subway,"Авиамоторная, 22",Авиамоторная,,1
3259,Subway,"30-й км Волоколамского ш., АЗС",,,1
3260,Subway,"Дубининская, 55",Павелецкая,,1
3261,Subway,"3-я ул. Ямского Поля, 13",Белорусская,,1
3262,Subway,"Линии Октябрьской Железной Дороги, 1, стр. 1",Петровско-Разумовская,,1
3263,Subway,"Радио, 24, корп. 1",Бауманская,,1
3264,KFC,"Яблочкова, 21, стр. 3, ТЦ «Депо-молл»",Тимирязевская,,1
3265,KFC,"Дмитрия Ульянова, 20, корп. 1",Академическая,,1
3266,KFC,"Измайловский Вал, 2",Семеновская,,1
3267,KFC,"Староватутинский пр., 14, ТРЦ «Клен»",Бабушкинская,,1
3268,KFC,"просп. Андропова, 23, ТЦ «Коломенский»",Коломенская,,1
3269,KFC,"22-й км Киевского ш., БП «Румянцево», стр. 2, блок Б",Румянцево,,1
3270,KFC,"Ленинградское ш., 71б, стр. 2",Речной вокзал,,1
3271,KFC,"Поречная, 10, ТРК Mari",Марьино,,1
3272,KFC,"Матвеевская, 2, ТК «Тук-тук»",Кунцевская,,1
3273,KFC,"7-я Кожуховская, 9, ТРК «Мозаика»","Автозаводская, Дубровка, Кожуховская",,1
3274,KFC,"Мясницкая, 11","Чистые пруды, Лубянка, Тургеневская, Кузнецкий Мост, Сретенский бульвар",,1
3275,KFC,"Зеленый просп., 62, ТЦ «Шангал»",Новогиреево,,1
3276,KFC,"Ленинская Слобода, 26, стр. 2, ТЦ «Оранж-парк»",Автозаводская,,1
3277,KFC,"9-я Парковая, 30, стр. 1",Первомайская,,1
3278,KFC,"Пятницкое ш., 39, ТЦ «Мандарин»",Пятницкое шоссе,,1
3279,KFC,"просп. Вернадского, 86а, ТРЦ Avenue South West",Юго-Западная,,1
3280,KFC,"Севастопольский просп., 11е, ТЦ «Капитолий Севастопольский»","Академическая, Тульская",,1
3281,KFC,"Героев Панфиловцев, 1а, ТЦ «Оранжевый мир»",Сходненская,,1
3282,KFC,"Люблинская, 4, корп. 1",Текстильщики,,1
3283,KFC,"В.Красносельская, 3а, ТДК «Тройка»",Красносельская,,1
3284,KFC,"Цветной б-р, 11, стр. 2","Цветной бульвар, Трубная",,1
3285,KFC,"Фестивальная, 2а, ТД «Интер-север»",Речной вокзал,,1
3286,KFC,"Щербинка, Симферопольское ш., 1а, стр. 2",,,1
3287,KFC,"Комсомольский просп., 24, стр. 1",Фрунзенская,,1
3288,Subway,"Валовая, 6",Павелецкая,,1
3289,Subway,"Кожевническая, 14, корп. 1",Павелецкая,,1
3290,Subway,"Киевская, 20, вход из Можайского переулка",Студенческая,,1
3291,Subway,"3-я Парковая, 4",Измайловская,,1
3292,Subway,"Новодмитровская, 5а, стр. 2",Дмитровская,,1
3293,Subway,аэропорт Внуково,,,1
3294,Subway,"аэропорт Шереметьево-3, терминал D, 1 этаж",,,1
3295,Subway,"аэропорт Шереметьево-2, терминал Е, 1 этаж",,,1
3296,Subway,"ш. Энтузиастов, 12, корп. 2, ТК «Город Лефортово»","Авиамоторная, Площадь Ильича, Римская",,1
3297,Subway,"аэропорт Шереметьево-1, терминал С, зона Duty Free",,,1
3298,Subway,"Балтийская, 5",Сокол,,1
3299,Subway,"Железнодорожный, Советская, 9, ТЦ «Эдельвейс»",,,1
3300,Subway,"Кронштадтский б-р, 3, стр. 12",Водный стадион,,1
3301,Subway,42-й км трассы М7,,,1
3302,Subway,"74-й км МКАД, АЗС «ТНК»",,,1
3303,Subway,"Мытная, 46, корп. 5",Шаболовская,,1
3304,Subway,"41-й км МКАД, пересечение с Калужским ш., ТЦ «Славянский мир»",,,1
3305,Subway,"Щербинка, Железнодорожная, 44, ТЦ «Акварель»",,,1
3306,Subway,"Кировоградская, 13а, ТЦ Columbus",Пражская,,1
3307,Subway,"14-й км МКАД, ТК «Садовод»","Люблино, Братиславская",,1
3308,Subway,"Б.Семеновская, 17а",Электрозаводская,,1
3309,Subway,"Голицыно, Привокзальная, пл., 1",,,1
3310,Subway,"Сельскохозяйственная, 17, корп. 1, гостиница «Турист»",Ботанический сад,,1
3311,Subway,"Уральская, 2, в здании автовокзала",Щелковская,,1
3312,KFC,"Покрышкина, 2, корп. 1",Юго-Западная,,1
3313,KFC,"Варшавское ш., 152а, ТЦ «Сомбреро»",Улица Академика Янгеля,,1
3314,KFC,"Автозаводская, 18, ТРЦ «Ривьера»",Автозаводская,,1
3315,KFC,"Планерная, 7, ТПУ «Планерная»",Планерная,,1
3316,KFC,"Н.Арбат, 2",Арбатская,,1
3317,KFC,"Митинская, 40, ТЦ «Митино»",Митино,,1
3318,KFC,"Новоясеневский просп., влад. 7, ТЦ «Калита»",Ясенево,,1
3319,KFC,"Спартаковская, 24",Бауманская,,1
3320,KFC,"Железнодорожный, Центральная, 102, стр. 1",,,1
3321,KFC,"Зубовский б-р, 17, стр. 1",Парк культуры,,1
3322,KFC,"Шарикоподшипниковская, 13, ТК «Дубровка»",Дубровка,,1
3323,KFC,"Алтуфьевское ш., 86, корп. 1, ТЦ «Ареал»",Алтуфьево,,1
3324,KFC,"М.Юшуньская, 1, корп. 1, БЦ «Берлин»","Севастопольская, Каховская",,1
3325,KFC,"Братиславская, 12",Братиславская,,1
3326,KFC,"Бронницы, Льва Толстого, 9",,,1
3327,KFC,"Коммунистическая, 10, корп. 1, ТРЦ XL-2",,,1
3328,KFC,"Пятницкая, 11/23","Новокузнецкая, Третьяковская",,1
3329,KFC,"Б.Семеновская, 16, ТРЦ «Серебряный дом», 3 этаж",Электрозаводская,,1
3330,KFC,"Генерала Кузнецова, 22, ТРЦ «Миля», 3 этаж",Жулебино,,1
3331,Kids World,"56-й км МКАД, ТРЦ «Vegas Кунцево»","Молодежная, Кунцевская",,1
3332,Kidzrock Café,"Хорошевское ш., 27, ТРЦ «Хорошо!»","Полежаевская, Хорошево",,2
3333,Killfish,"Тушинская, 17, ТРЦ «Праздник», 2 этаж",Тушинская,,1
3334,Killfish,"Новослободская, 46","Новослободская, Менделеевская",,1
3335,Killfish,"Профсоюзная, 104",Беляево,,1
3336,Killfish,"Щербаковская, 53, корп. 15","Партизанская, Семеновская",,1
3337,Killfish,"Пятницкая, 29","Новокузнецкая, Третьяковская",,1
3338,Killfish,"Маросейка, 4/2",Китай-город,,1
3339,Killfish,"Дмитрия Ульянова, 20, корп. 1",Академическая,,1
3340,Killfish,"1-я Останкинская, 55, ТЦ «ВДНХ»",ВДНХ,,1
3341,King David,"Октябрьская, 18","Марьина Роща, Достоевская",,2
3342,Kinzadza,"Мясницкая, 18","Лубянка, Кузнецкий Мост",,2
3343,Kish Me,"Н.Арбат, 11, стр. 1, ТД «Новоарбатский»",Арбатская,,1
3344,Kitchen,"Удальцова, 15",Проспект Вернадского,,2
3345,Kitchen,"Академика Анохина, 13",Юго-Западная,,2
3346,Kitchen,"Архитектора Власова, 18",Новые Черемушки,,2
3347,Kitchen,"Родионовская, 12",,,2
3348,Kitchen,"Б.Марфинская, 4, корп. 1","Владыкино, Тимирязевская",,2
3349,Kitchen,"Театральный пр., 5, Центральный детский магазин, 3 этаж","Лубянка, Кузнецкий Мост",,2
3350,Kitchen,"Театральный пр., 5, Центральный детский магазин, 5 этаж","Лубянка, Кузнецкий Мост",,2
3351,Kitchen,"Столетова, 17",Университет,,2
3352,Kitchen,"Гарибальди, 6, корп. 1",Новые Черемушки,,2
3353,KOF,"Новодмитровская, 1, стр. 1, на территории «Хлебозавода»",Дмитровская,,1
3354,Koffee Times,"1-я Тверская-Ямская, 4",Маяковская,,2
3355,Kogo Fragola,"Суздальская, 12а",Новокосино,,2
3356,Koi,"Кутузовский просп., 12, стр. 2, БЦ «Бадаевский»","Выставочная, Киевская, Международная, Деловой центр",,2
3357,Kokoška,"Новорязанское ш., 8, Outlet Village Белая Дача",Котельники,,1
3358,Kombinat Deli,"Марксистская, 1","Таганская, Марксистская",,1
3359,Kommunity,"Трехпрудный пер., 10/2, стр. 2","Тверская, Пушкинская, Чеховская",,3
3360,Subway,"Селезневская, 4","Новослободская, Менделеевская",,1
3361,Subway,"14-й км от МКАД по Ленинградскому ш., дер. Черная Грязь, Fashion House Outlet Centre",,,1
3362,Subway,"24-й км Дмитровского ш., дер. Еремино, АЗС «Ека»",,,1
3363,Subway,"Дубравная, 34/29, ТРЦ «Ладья»",Митино,,1
3364,Subway,"Шарикоподшипниковская, 13, ТК «Дубровка»",Дубровка,,1
3365,Subway,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского»",Университет,,1
3366,Subway,"Ореховый б-р, 24","Красногвардейская, Зябликово",,1
3367,Subway,"Волгоградский просп., 119а",Кузьминки,,1
