,Name,Address,Metro,Rating,Money,lat,lng,District
92,BB & Burgers,"2-й км Киевского ш., БЦ «Комсити»",Румянцево,,1.0,56.978502,35.678999,
93,BB & Burgers,"Льва Толстого, 20",Парк культуры,,1.0,42.865794,74.661427,
94,BB & Burgers,"Усачева, 26","Фрунзенская, Спортивная, Лужники",,1.0,55.727374,37.567698,Хамовники
95,BB & Burgers,"Ленинский просп., 109, ТРЦ «Рио Ленинский»","Проспект Вернадского, Юго-Западная, Калужская",,1.0,59.851259,30.240338,
96,Бардак,"Маросейка, 6/8, cтр. 1",Китай-город,8.6,2.0,55.757491,37.635404,Басманный
97,Burger Heroes,"Б.Ордынка, 19, стр. 1","Новокузнецкая, Третьяковская",8.6,1.0,55.741586,37.625217,Замоскворечье
98,Натахтари в Большом Черкасском,"Б.Черкасский пер., 13, стр. 4, вход с Новой площади",Китай-город,8.6,2.0,,,
99,Пипл & Паста,"Цветной б-р, 25, стр. 1","Цветной бульвар, Трубная",8.6,1.0,55.772861,37.620645,Тверской
100,Пушкин,"Тверской б-р, 26а","Тверская, Пушкинская, Чеховская",8.6,4.0,55.7637,37.605032,Тверской
101,Батони,"Комсомольский просп., 42, стр. 3","Фрунзенская, Спортивная",8.6,2.0,55.721447,37.572468,Хамовники
102,15 Kitchen + Bar,"Пожарский пер., 15","Кропоткинская, Парк культуры",8.6,3.0,55.741744,37.600675,Хамовники
103,Кот Шредингера,"Б.Дмитровка, 32, внутренний двор, цокольный этаж","Тверская, Пушкинская, Чеховская",8.6,2.0,,,
104,Пита & Сувлаки,"Садовая-Самотечная, 15/1","Сухаревская, Цветной бульвар, Трубная",8.6,1.0,55.774325,37.61848,Тверской
105,Люди как люди,"Солянский туп., 1/4",Китай-город,8.6,1.0,55.753823,37.63606,Таганский
106,Touché,"Рочдельская, 15, стр. 22, БЦ «Трехгорная мануфактура»","Краснопресненская, Баррикадная",8.6,2.0,55.755586,37.562748,Пресненский
107,Простые вещи New Vintage,"1-я Брестская, 41","Белорусская, Маяковская",8.6,2.0,55.773262,37.587533,Тверской
108,Обломов,"1-й Монетчиковский пер., 5","Новокузнецкая, Добрынинская, Павелецкая, Третьяковская, Полянка, Серпуховская",8.6,4.0,55.732256,37.628316,Замоскворечье
109,Шотландская клетка,"Сретенка, 27/29",Сухаревская,8.6,3.0,55.770988,37.632161,Мещанский
110,Bổ,"Мытная, 74, фуд-корт Даниловского рынка",Тульская,8.6,1.0,,,
111,Martinez,"Сретенка, 1","Чистые пруды, Тургеневская, Сретенский бульвар",8.6,3.0,55.766532,37.630544,Мещанский
112,Tehnikum,"Б.Дмитровка, 7/5, стр. 2","Охотный Ряд, Театральная, Площадь Революции",8.6,2.0,55.760849,37.614743,Тверской
113,Рецептор,"Чистопрудный б-р, 23, стр. 2","Чистые пруды, Тургеневская, Сретенский бульвар",8.5,2.0,55.76056,37.647154,Басманный
114,Meatless,"Тверская, 20, стр. 1","Тверская, Пушкинская, Чеховская",8.5,2.0,55.766643,37.602373,Тверской
115,Чайная высота,"Покровка, 27, стр. 1","Чистые пруды, Тургеневская, Китай-город, Сретенский бульвар",8.5,1.0,55.760195,37.648097,Басманный
116,Marketplace,"Мясницкая, 13, стр. 3","Чистые пруды, Тургеневская, Сретенский бульвар",8.5,1.0,55.762622,37.63394,Красносельский
117,Beer & Brut,"Покровка, 26/1","Чистые пруды, Курская, Тургеневская, Китай-город, Сретенский бульвар, Чкаловская",8.5,2.0,55.759831,37.649121,Басманный
118,Dr. Живаго,"Моховая, 15, гостиница «Националь», 1 этаж","Охотный Ряд, Театральная, Площадь Революции",8.5,3.0,50.368437,127.615864,
119,Pivbar,"1-я Тверская-Ямская, 2, стр. 1",Маяковская,8.5,2.0,55.770284,37.597118,Тверской
120,Хитрые люди,"4-й Сыромятнический пер., 1/8, стр. 10, ЦСИ «Винзавод»","Курская, Чкаловская",8.5,2.0,55.755657,37.665866,Басманный
